"id","accuracy","auc","precision","recall","f1","layers"
"180","1","1","1","1","1","6-5-4"
"181","1","1","1","1","1","6-6-1"
"182","0.992857142857143","0.975","0.992","1","1","6-6-2"
"183","1","1","1","1","1","6-6-3"
"184","0.992857142857143","0.975","0.992","1","1","6-6-4"
"185","1","1","1","1","1","6-7-1"
"186","0.992857142857143","0.985714285714286","0.990909090909091","1","1","6-7-2"
"187","1","1","1","1","1","6-7-3"
"188","1","1","1","1","1","6-7-4"
"189","0.992857142857143","0.994444444444444","1","0.988888888888889","1","6-8-1"
"190","0.992857142857143","0.98","0.991666666666667","1","1","6-8-2"
"191","0.992857142857143","0.985714285714286","0.990909090909091","1","1","6-8-3"
"192","0.971428571428572","0.955555555555555","0.965217391304348","1","1","6-8-4"
"193","0.942857142857143","0.907222222222222","0.945944055944056","0.983333333333333","1","7-1-1"
"194","0.985714285714286","0.960714285714286","0.982909090909091","1","1","7-1-2"
"195","0.978571428571429","0.958928571428572","0.973084886128364","1","1","7-1-3"
"196","0.992857142857143","0.985714285714286","0.990909090909091","1","1","7-1-4"
"197","0.978571428571429","0.955555555555555","0.972608695652174","1","1","7-2-1"
"198","0.985714285714286","0.971428571428571","0.982608695652174","1","1","7-2-2"
"199","0.978571428571429","0.925","0.976615384615385","1","1","7-2-3"
"200","0.992857142857143","0.99","0.989473684210526","1","1","7-2-4"
"201","0.978571428571428","0.975454545454545","0.98","0.990909090909091","1","7-3-1"
"202","0.985714285714286","0.977777777777778","0.991304347826087","0.988888888888889","1","7-3-2"
"203","1","1","1","1","1","7-3-3"
"204","1","1","1","1","1","7-3-4"
"205","0.957142857142857","0.934541062801932","0.956521739130435","0.991304347826087","1","7-4-1"
"206","0.992857142857143","0.98","0.991666666666667","1","1","7-4-2"
"207","0.985714285714286","0.981547619047619","0.990909090909091","0.991666666666667","1","7-4-3"
"208","0.985714285714286","0.96","0.984","1","1","7-4-4"
"209","0.957142857142857","0.885714285714286","0.955194805194805","1","0.933333333333333","7-5-1"
"210","0.992857142857143","0.983333333333333","0.991304347826087","1","1","7-5-2"
"211","1","1","1","1","1","7-5-3"
"212","0.985714285714286","0.971428571428572","0.982608695652174","1","1","7-5-4"
"213","0.985714285714286","0.983333333333333","0.990476190476191","0.991666666666667","1","7-6-1"
"214","0.992857142857143","0.988888888888889","0.99","1","1","7-6-2"
"215","0.992857142857143","0.985714285714286","0.990909090909091","1","1","7-6-3"
"216","0.992857142857143","0.985714285714286","0.990909090909091","1","1","7-6-4"
"217","0.971428571428571","0.952727272727273","0.961666666666667","1","1","7-7-1"
"218","0.992857142857143","0.990909090909091","0.988888888888889","1","1","7-7-2"
"219","0.985714285714286","0.981818181818182","0.978947368421053","1","1","7-7-3"
"220","0.992857142857143","0.995238095238095","1","0.990476190476191","1","7-7-4"
"221","0.985714285714286","0.977777777777778","0.980952380952381","1","1","7-8-1"
"222","0.992857142857143","0.983333333333333","0.991304347826087","1","1","7-8-2"
"223","0.985714285714286","0.9625","0.982476190476191","1","1","7-8-3"
"224","1","1","1","1","1","7-8-4"
"225","0.914285714285714","0.830753968253968","0.913095238095238","0.991666666666667","0.933333333333333","8-1-1"
"226","0.992857142857143","0.995833333333333","1","0.991666666666667","1","8-1-2"
"227","1","1","1","1","1","8-1-3"
"228","0.985714285714286","0.966666666666667","0.983333333333333","1","1","8-1-4"
"229","0.964285714285714","0.948033126293996","0.963636363636364","0.991304347826087","1","8-2-1"
"230","0.992857142857143","0.98","0.991666666666667","1","1","8-2-2"
"231","0.992857142857143","0.9875","0.990476190476191","1","1","8-2-3"
"232","0.992857142857143","0.985714285714286","0.990909090909091","1","1","8-2-4"
"233","0.971428571428572","0.959523809523809","0.981304347826087","0.980952380952381","1","8-3-1"
"234","0.992857142857143","0.9875","0.990476190476191","1","1","8-3-2"
"235","0.985714285714286","0.982738095238095","0.990476190476191","0.990476190476191","1","8-3-3"
"236","1","1","1","1","1","8-3-4"
"237","1","1","1","1","1","8-4-1"
"238","1","1","1","1","1","8-4-2"
"239","0.992857142857143","0.9875","0.990476190476191","1","1","8-4-3"
"240","0.992857142857143","0.990909090909091","0.988888888888889","1","1","8-4-4"
"241","0.985714285714286","0.96","0.984","1","1","8-5-1"
"242","0.992857142857143","0.99","0.989473684210526","1","1","8-5-2"
"243","1","1","1","1","1","8-5-3"
"244","0.985714285714286","0.962666666666667","0.992307692307692","0.992","1","8-5-4"
"245","0.992857142857143","0.985714285714286","0.990909090909091","1","1","8-6-1"
"246","0.992857142857143","0.983333333333333","0.991304347826087","1","1","8-6-2"
"247","0.978571428571429","0.946666666666667","0.974275362318841","1","1","8-6-3"
"248","0.978571428571429","0.963492063492064","0.971861471861472","1","1","8-6-4"
"249","0.971428571428572","0.942857142857143","0.965909090909091","1","1","8-7-1"
"250","1","1","1","1","1","8-7-2"
"251","1","1","1","1","1","8-7-3"
"252","0.985714285714286","0.973214285714286","0.981385281385281","1","1","8-7-4"
"253","0.992857142857143","0.983333333333333","0.991304347826087","1","1","8-8-1"
"254","1","1","1","1","1","8-8-2"
"255","0.985714285714286","0.975","0.981818181818182","1","1","8-8-3"
"256","0.978571428571429","0.951428571428571","0.973484848484848","1","1","8-8-4"
"257","0.971428571428572","0.952976190476191","0.975","0.991666666666667","1","9-1-1"
"258","0.971428571428572","0.966707070707071","0.968947368421053","0.992","1","9-1-2"
"259","0.992857142857143","0.95","0.992592592592593","1","1","9-1-3"
"260","0.964285714285714","0.947727272727273","0.951818181818182","1","1","9-1-4"
"261","0.985714285714286","0.970652173913043","0.992","0.991304347826087","1","9-2-1"
"262","0.992857142857143","0.988888888888889","0.99","1","1","9-2-2"
"263","0.978571428571429","0.949047619047619","0.973880105401845","1","1","9-2-3"
"264","0.971428571428572","0.942857142857143","0.965909090909091","1","1","9-2-4"
"265","0.942857142857143","0.882954545454546","0.947619047619048","0.990909090909091","0.933333333333333","9-3-1"
"266","0.992857142857143","0.99","0.989473684210526","1","1","9-3-2"
"267","0.978571428571429","0.96031746031746","0.972608695652174","1","1","9-3-3"
"268","0.992857142857143","0.99","0.989473684210526","1","1","9-3-4"
"269","0.978571428571429","0.969047619047619","0.968686868686869","1","1","9-4-1"
"270","1","1","1","1","1","9-4-2"
"271","0.992857142857143","0.9875","0.990476190476191","1","1","9-4-3"
"272","1","1","1","1","1","9-4-4"
"273","0.985714285714286","0.966666666666667","0.983333333333333","1","1","9-5-1"
"274","0.985714285714286","0.952380952380953","0.983216783216783","1","1","9-5-2"
"275","1","1","1","1","1","9-5-3"
"276","1","1","1","1","1","9-5-4"
"277","0.985714285714286","0.95","0.983612040133779","1","1","9-6-1"
"278","1","1","1","1","1","9-6-2"
"279","0.992857142857143","0.985714285714286","0.990909090909091","1","1","9-6-3"
"280","0.985714285714286","0.966666666666667","0.983333333333333","1","1","9-6-4"
"281","1","1","1","1","1","9-7-1"
"282","0.978571428571429","0.968571428571429","0.980778032036613","0.990476190476191","1","9-7-2"
"283","1","1","1","1","1","9-7-3"
"284","0.985714285714286","0.966666666666667","0.982608695652174","1","1","9-7-4"
"285","0.985714285714286","0.965714285714286","0.982575757575758","1","1","9-8-1"
"286","0.985714285714286","0.960714285714286","0.982909090909091","1","1","9-8-2"
